actual,predicted
859,855.9739909906003
1627,1641.4187020511456
1969,1956.074767629016
1350,1267.8781985465737
1575,1637.821283378163
1784,1804.8164386189421
1467,1540.6081603301043
1136,1136.0863602865554
1448,1586.5614763719761
1927,1970.313787560834
1849,1892.1784784208673
866,952.9423020798162
1760,1569.735466821167
1194,1145.0662301035761
1072,1144.9592975194598
1285,1417.8791520654445
1664,1475.8442541856186
1630,1571.6432543464236
1211,1445.5377655009804
1539,1535.4881227449669
1151,1085.533021111117
1344,1365.8200397033872
1138,1174.706735542653
916,985.3391842803533
1493,1477.001401456425
1876,1307.7863767230763
939,938.3707173343338
2205,2095.9634153908596
1443,1456.5369157178013
1313,1337.2523481845344
1698,1745.6985743284465
1710,1623.0610423877654
1597,1104.9996954234496
1174,1219.706145058711
1620,1565.9003196525932
1307,1243.451603458516
1661,1221.6585758831968
2194,2171.8137044948817
1393,1396.7574995098
1357,1426.099321717996
1950,1861.6164419215318
1505,1546.2174989179914
1137,1069.1223190113906
1040,1024.256882538718
1147,1165.2996070757488
1133,1174.0257981507036
1880,1846.6515004093008
1745,1749.8530286088683
1568,1518.5570297564363
1500,1431.0561799750408
771,1178.3795546996273
1262,1662.620957122457
1180,1311.65516647466
983,1639.0673817004224
1672,1653.7184083309046
1017,1046.69748273299
1597,1328.2059617422249
850,845.3610841021198
1880,1881.0777679604091
1361,1398.49563789259
2110,1533.0391375591457
1747,1794.5629224064642
1807,1896.2087946335173
1500,988.0843447333666
1152,1037.7938872506468
1379,1399.0551326392654
1200,1137.3169151503491
1754,1784.607236112681
464,886.2572728077387
1797,1832.2221555481435
2063,1764.7501147073274
1025,1123.831033893981
2347,2273.168797392411
2100,2048.366227788045
1844,1765.8027732635896
1948,1951.4182000963076
1612,1538.347517555371
1988,1972.8728972371862
1500,1497.4545244031062
1854,1687.845330543549
1764,1761.697471301032
451,841.5788161755669
1736,1612.8903402393173
976,918.9563114404792
1362,1400.3305184226408
1696,1450.9013596144405
2228,2232.9832927587495
1496,1563.5521794653573
1208,1201.6000387337822
1700,1743.005764987138
2201,2050.108003860248
1653,1613.921417377413
1738,1764.248982131951
1891,1979.8732481117686
1631,1697.5254167555006
1353,1406.9256711846494
1087,1211.0851881532456
1473,1513.5423499003227
1454,1457.5070387627354
881,1162.0203385393097
555,933.8142392584823
1725,1813.8570622447985
2114,2058.83591695658
1905,1972.346310554323
1344,1312.2109416785772
1777,1745.100293148319
1322,1325.914368074287
1597,1622.665207235945
1670,1626.5896560090293
1314,1363.2469969039114
1226,1204.127451947148
2092,1932.822956490498
1867,1858.6593816696304
1484,1500.4128730883726
1440,1489.9847180315326
1300,1385.6099677471927
1072,1078.1397799812225
711,847.2559427381054
400,848.8288784351957
1821,1856.505929079841
1714,1808.8280710956853
1537,1548.0301320958824
1479,1448.6988097601245
1288,1233.7077000357651
989,1054.8202995447703
1702,1616.8222867093061
1717,1725.3189699482293
1880,1860.6070902827362
1255,1234.7913538943678
1854,1765.1716676872618
1696,1689.1527108264513
1530,1404.9724646372822
1536,1593.2687239788263
1374,1362.856999946496
1182,1354.3328663506593
2031,2004.029824699815
1394,1386.4364627099555
1784,1945.9224589042947
2032,1843.1302418871762
2103,2092.076854504291
2291,2106.046494315923
1343,1325.609016463727
1790,1934.3157424078806
1723,1702.2295671710715
1429,1434.3518616047124
1693,1700.9552587685992
1905,1902.9453197281116
1521,1521.378279974668
1512,1482.61772980439
1882,1739.1975216274202
1234,1252.3807443471019
1979,1910.6917383657294
1905,1899.4388931988428
1170,1210.7153759566515
1677,1584.028306699423
1904,1825.8058871280466
1768,1781.0671147775681
1268,1463.774887991888
1296,1258.8243967449614
1513,1482.5849447112541
2239,1655.5438513854251
1673,1690.1197104843104
1371,1337.9747696652114
1688,1682.751142075864
1557,1559.0114147139363
1446,1476.855410603401
764,1218.0302132466477
899,771.0101108358848
1596,1527.7705475338726
1450,1502.598934675596
1337,1442.2623810373614
643,796.4924221711779
1565,1494.8052751532573
1863,1840.7656480988692
998,1125.7045924704405
1472,1491.449442347256
1815,1825.3316202516412
1172,1292.2847070823402
1525,1578.4602792246383
1307,1465.4738586746141
1864,1857.3599959588817
1547,1575.878182798637
1344,1325.8941716628167
1942,1919.9420136895365
870,969.8632398874205
1295,1359.5620011226013
1419,1407.3987938822595
1175,1302.3095057318637
1373,1376.9250922503857
1338,1371.6362713370083
1151,1238.6949420942371
1318,1261.4666878620806
1414,1167.3135304990892
1139,1105.803780632009
1340,1238.6899893847558
1823,1770.1155172298431
1329,1368.4215764810262
1846,1860.8497609956664
869,1194.3689099398432
1567,1565.2637568835908
1387,1255.038581795586
1637,1589.8306326053041
1386,1396.2658286270082
1902,1824.6819067725087
1228,1288.2567206938377
1082,1175.718029895868
1427,2146.1822597000846
1061,997.2629446091919
1597,1471.8635385299442
1679,1552.1043165808435
1534,1542.0598106677369
1708,1685.1286653479203
1136,1401.205090744584
1233,1294.5853085128817
1956,1813.095288656166
1606,1626.346741206712
1750,1697.0549845703802
1163,1026.6416623634248
1068,1018.955443542196
1179,1148.6968136818025
1710,1650.1703124006567
1494,1489.3815152930617
1516,1486.6661301864845
1504,1518.9320624609804
1521,1531.81089162584
1704,1763.5728364050553
1869,1867.2815036216489
1538,1599.159340666609
1668,1610.589720129002
1610,1542.3802081980828
1789,1778.642794707237
1710,1703.8665921565714
1954,1950.8080577163637
1325,1331.9390196056809
961,913.1978037383877
1662,1615.0529025908515
1839,1824.59245729298
1108,1119.5120097318247
2041,1860.311173840764
1771,1828.8254722718227
1775,1816.4218482782683
1847,1759.3995717262944
1747,1784.2257258817501
1166,1124.3904465388084
1434,1335.3343012377006
1337,1291.2274894308464
1400,1685.1406358084168
1167,1130.0959836851464
1365,1395.4098163008427
1500,763.086281120254
1725,1729.7195233312398
1757,1650.3987729552512
1127,1100.8667212024757
711,1424.6225058418088
797,889.5241968104722
1642,1733.9121006427472
1534,1596.7868395712444
2116,1841.762153807587
1882,1911.3799263222666
1474,1357.7726186880589
1779,2087.1397689360765
1781,1642.451490104269
1697,1727.3206579675186
1354,1329.1413236345013
1209,1215.705902206966
1405,1261.411268681001
911,945.1439047833985
1428,1443.4123135776013
1441,1039.7314397950474
1490,1416.330989083008
830,901.5390566024671
734,924.2792268314597
1204,1201.5251982292264
679,806.6886821993822
1977,1923.9548608834064
1103,1048.417905642262
938,943.7240996929094
1176,1042.6387019550648
1589,1677.5483588689535
624,750.4160886317612
1266,1475.0103838665677
1425,1381.0426230798791
1824,1713.4061619718127
1945,2082.003863715906
1611,1607.851596780987
1215,1084.0382217645765
734,918.602193913059
1555,1582.0415434939257
1411,1398.337473092132
1688,1626.757017861309
1077,1076.4445543413733
1355,1386.2606654432261
1830,1799.9081602549809
1464,1433.112801267696
1750,1686.026024872749
1531,1545.6962542377576
1816,1871.6804080744173
1673,1647.689956735599
1600,1613.7142382337327
1834,1781.6403830031406
1257,1314.873063039955
1927,1752.3709936860448
1016,1037.9642601477046
1567,1578.4390072021372
2084,1659.0654278418724
948,1006.0765678276823
1544,1440.2366129675488
1336,1318.4514986165323
1026,982.845131206792
2263,1520.0929136824197
1476,1506.9202801106571
1535,1510.3000672538508
1339,1351.05068481921
1939,1880.3503041232793
1795,1784.2522774944807
874,975.0016497346061
1793,1715.4076943582916
766,863.8049577320118
1641,1550.944653799408
1450,1319.9870716954383
2044,2081.045980860781
1526,1504.9634289203245
1570,1612.2991712614298
2090,2051.9507113622867
1674,1664.089981247823
678,1246.2056410303624
1414,1361.93007453778
1733,1822.7050730843027
1203,1135.2515318197818
1418,1391.9750506289936
1224,1231.525678672822
1437,1501.537183806626
1407,1512.0194612545754
1340,1372.8606506298468
1794,1766.9019154749683
852,881.9942710332734
580,687.1245323241517
1077,1234.155858094309
1187,1275.4063304786916
1959,1906.2204134140782
1153,1256.1684044304823
1849,1846.717408257508
1761,1657.41167356554
870,972.0937234757193
1910,1861.129452098216
1029,989.2159828328939
1529,1483.3325439232292
2160,1949.7835000919133
1701,1594.3847897866356
1077,1228.0717197297856
1349,1356.9114547069064
745,738.5278509715736
1471,1446.3680493237503
1979,1635.0886600193924
1368,1384.6248877630703
