actual,predicted
863,1377.7227535077702
1611,1595.9481587047846
1943,1499.613356430666
1338,1234.66506730464
1774,1215.6916633169017
1829,1717.3681971810054
1483,1541.088395599541
1140,1220.2884409344376
1630,1579.57163531283
1963,1582.6888046797249
1859,1515.2955417670755
956,1308.479749990478
1714,1506.1236385481577
1148,1489.8894260921493
1137,1518.594231947125
1404,1525.8118140691884
1425,1565.5204175492318
1548,1669.1973713830293
1480,1494.5733415164975
1548,1393.015726345246
1070,1525.0848867531643
1360,1631.5033856306695
1179,1367.5790888509014
821,1471.7656613665229
1487,1480.569872184821
1261,1678.0561596124794
497,1506.2425394788327
2210,1859.9282896482114
1456,1453.1818307305996
1321,1639.9180027524878
1731,1561.1102860274184
1612,1685.3084137789142
1118,1096.6001143651592
1246,1306.087571069313
1672,1332.7918803721345
1239,1465.0838584847957
1144,1336.3457702909022
2237,1884.8526531745918
1380,1662.0983462258168
1394,1419.960854307475
1881,1580.3789554401546
1482,1577.494946665802
1035,1304.0289147816493
1037,1473.2234702019027
1105,1443.424958767345
1166,1096.0172668230555
1864,1441.090928991216
1737,1735.357538584851
1603,1445.1792200248822
1491,1575.2496692694087
1278,1240.308513029237
1910,1311.1586806889527
1577,1238.031581322088
1715,1438.318286245723
1624,1643.7497951654443
1047,1287.8997056817532
1286,1190.005094006597
839,1118.5402220207816
1964,1468.4657073543724
1351,1400.476922334244
1522,1759.6116309098243
1761,1638.6094541988905
2035,1557.4749481113981
937,1181.2847355833605
1051,1470.2090195392161
1356,1685.2752871761832
1136,1390.91736710659
1927,1405.7939244340737
901,1026.5396360689117
1862,1644.5572962041083
1757,1332.4610155932764
1074,1506.6640801688566
2405,1887.1452613883164
2120,1780.706773217887
1815,1640.083782393246
1985,1724.7107033872358
1570,1182.0230487618367
1987,1781.6681256219556
1478,1595.4384777916707
1683,1747.7283910922367
1755,1352.583772025812
874,1371.4936659387135
1702,1400.8143128029537
848,1491.6946246417142
1392,1430.0153700470723
1530,1496.6252950930425
2363,2012.6304189247564
1581,1616.5518530843292
1225,1242.0606752910746
1726,1572.0553140612976
2157,1738.1705717079303
